descricao,valor,tipo,data,categoria,banco,status
SALDO_INICIAL,2340.00,saldo_inicial,2026-03-31,sistema,Inter,ativa
Salário Mensal,4500.00,receita,2026-04-01,salario,Inter,ativa
Aluguel Apartamento,1200.00,despesa,2026-04-02,moradia,Inter,ativa
Supermercado Atacadão,380.50,despesa,2026-04-03,alimentacao,Inter,ativa
Uber para trabalho,32.90,despesa,2026-04-04,transporte,Inter,ativa
Netflix,55.90,despesa,2026-04-05,lazer,Inter,ativa
Freelance Design,800.00,receita,2026-04-07,freelance,Inter,ativa
iFood Jantar,67.40,despesa,2026-04-08,alimentacao,Inter,ativa
Farmácia Nissei,89.90,despesa,2026-04-09,saude,Inter,ativa
Conta de Luz,145.00,despesa,2026-04-10,moradia,Inter,ativa
Spotify,21.90,despesa,2026-04-11,lazer,Inter,ativa
Uber para aeroporto,78.00,despesa,2026-04-12,transporte,Inter,ativa
Transferência recebida amigo,200.00,receita,2026-04-13,outros,Inter,ativa
Supermercado Pão de Açúcar,210.30,despesa,2026-04-14,alimentacao,Inter,ativa
Academia Smart Fit,99.90,despesa,2026-04-15,saude,Inter,ativa
Conta de Internet,119.90,despesa,2026-04-16,moradia,Inter,ativa
Restaurante Almoço,45.00,despesa,2026-04-17,alimentacao,Inter,ativa
Cashback Inter,38.50,receita,2026-04-18,outros,Inter,ativa
Posto de Gasolina,180.00,despesa,2026-04-19,transporte,Inter,ativa
Duplicata Supermercado,210.30,despesa,2026-04-20,alimentacao,Inter,descartada
Curso Udemy,47.90,despesa,2026-04-21,educacao,Inter,ativa
Consulta Médica,150.00,despesa,2026-04-22,saude,Inter,ativa
Rendimento CDB Inter,62.15,receita,2026-04-23,investimento,Inter,ativa
Uber Eats,38.70,despesa,2026-04-24,alimentacao,Inter,ativa
Presente aniversário,120.00,despesa,2026-04-25,outros,Inter,ativa
Pagamento PIX recebido,350.00,receita,2026-04-26,outros,Inter,ativa
